Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Filing Date,,,,,,,,,,,,IPCALAB
Restatement Type,,,,,,,,,,,,IPCALAB
Calculation Type,,,,,,,,,,,,IPCALAB
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,IPCALAB
,,,,,,,,,,,,IPCALAB
Cash And Equivalents,14823.46933,15756.98808,15007.79,2303.95,2063.04,2777.31,4428.71,6534.85,529.75,3005.6,17626.045,IRB
Short Term Investments,131.650957,80.028535,288.75,0.1,0.1,,,,,,2650.298,IRB
Trading Asset Securities,,,65.9,1450.77,1837.92,323.01,128.01,3122.58,4634.98,1956.99,,IRB
Total Cash & ST Investments,14955.12029,15837.01662,15362.44,3754.82,3901.06,3100.32,4556.72,9657.43,5164.73,4962.59,20276.343,IRB
Accounts Receivable,187.022852,181.621751,1402.67,1100.48,2224.63,2745.67,4878.71,4170.94,15129.14,23001.42,7586.124,IRB
Other Receivables,443.897186,497.056881,920.63,987.61,899.34,2318.53,11111.29,14670.17,4281.67,7020.45,,IRB
Notes Receivable,,,62.71,51.34,427.83,635.29,158.18,4248.34,4179.61,6176.03,772.534,IRB
Total Receivables,630.920038,678.678632,2386.01,2139.43,3551.8,5699.49,16148.18,23089.45,23590.42,36197.9,8358.658,IRB
Inventory,2683.398269,2669.245792,3199.49,3527.09,4872.56,4424.86,3313.55,3216.72,3174.59,2990.01,2930.891,IRB
Prepaid Exp.,,,172.76,166.85,264.09,237.72,137.46,116.48,463.17,168.11,,IRB
Other Current Assets,5126.098078,4558.569434,4290.45,139772.29,12576.43,15368.01,21020.04,18819.58,18881.65,25332.38,16828.418,IRB
Total Current Assets,23395.53667,23743.51048,25411.15,149360.48,25165.94,28830.4,45175.95,54899.66,51274.56,69650.99,48394.31,IRB
"Gross Property, Plant & Equipment",6750.612359,7557.303265,4016.48,4128.06,3028.45,2945.36,3100.36,3028.95,11269.81,11044,,IRB
Accumulated Depreciation,-3258.8,-3918.5,-534.2,-1106.3,-577.6,-868.1,-1087.4,-1204.9,-1428,-1543.7,,IRB
"Net Property, Plant & Equipment",3491.850492,3638.778055,3482.25,3021.8,2450.83,2077.27,2012.92,1824.09,9841.84,9500.33,9219.76,IRB
Long-term Investments,201.735927,304.058516,7.81,8.01,7616.64,6130.57,41330.54,44866.61,44407.24,49452.35,93770.067,IRB
Goodwill,1131.690796,1126.275014,1120.84,1115.4,78.04,78.04,78.04,78.04,78.04,78.04,78.042,IRB
Other Intangibles,125787.7799,361225.7953,387083.55,307804.39,364664.33,365242.41,278644.45,275849.27,263416.35,255298.04,245916.263,IRB
Accounts Receivable Long-Term,,,,,27.68,31.69,1.01,2477.19,5999.86,1342.73,,IRB
Loans Receivable Long-Term,297.102475,292.671007,50.03,132.59,166.38,0.08,77.38,0.04,,,,IRB
"Deferred Tax Assets, LT",81.13282,24.372147,3377.4,3854.86,3348.07,1673.51,596.8,710.66,1289.09,636.6,507.777,IRB
"Deferred Charges, LT",,35.14821,0.81,,248.66,,,,,,,IRB
Other Long-Term Assets,2731.932004,3539.129851,1125.68,1111.18,265.57,896.78,30964.49,31030.88,49359.22,41702.69,51316.924,IRB
Total Assets,157118.761,393929.7386,421659.52,466408.71,404032.14,404960.75,398881.58,411736.44,425666.2,427661.77,449203.143,IRB
LIABILITIES,,,,,,,,,,,,IRB
Accounts Payable,4078.15733,2338.912306,3087.92,4506.8,4058.33,7060.93,7440.28,7145.61,3817.25,5022.3,6757.405,IRB
Accrued Exp.,1318.79789,1194.855519,1401.26,1310.1,1315.22,1136.57,2672.24,1156.82,833.51,1512.55,839.055,IRB
Short-term Borrowings,9033.355443,6320.663738,11903.6,9602.18,11644.99,13168.43,20714.37,15871.48,5832.57,13390.69,,IRB
Curr. Port. of LT Debt,7896.187778,11402.97626,11516.33,9360.24,8298.47,8739.86,6570.35,5755.79,6329.85,11529.18,17947.194,IRB
Curr. Port. of Leases,,,,,,,49.69,45.02,34.92,39.58,43.877,IRB
Curr. Income Taxes Payable,346.695508,544.901185,298.43,491.96,166.8,1008.77,726.43,480.44,198.22,23.69,3.152,IRB
"Unearned Revenue, Current",,,,,,71.1,1108.5,85.54,99.91,,,IRB
Other Current Liabilities,1111.041359,3529.093068,4458.32,107927.87,46702.97,30354.39,88809.63,21891.76,11627.57,11526.82,13502.386,IRB
Total Current Liabilities,23784.23531,25331.40208,32665.86,133199.15,72186.78,61540.05,128091.49,52432.46,28773.8,43044.81,39093.069,IRB
Long-Term Debt,93979.51848,108044.2711,132839.69,120896.71,118312.59,144076.06,64580.71,170524.14,154747.17,142476.99,168542.775,IRB
Long-Term Leases,,,,,,,76.7,43.17,85.06,45.49,,IRB
"Unearned Revenue, Non-Current",,,,,,,,,1390.55,,,IRB
Pension & Other Post-Retire. Benefits,77.347175,98.896352,109.67,125.68,149.93,189.4,183.8,207,238.39,27.22,,IRB
"Def. Tax Liability, Non-Curr.",224.462825,193.909801,42.17,,143.04,322.92,27.01,24.06,853.71,1273.83,2538.303,IRB
Other Non-Current Liabilities,3090.15415,216302.1035,207284.21,159471.19,156314.6,135680.82,139093.08,119497.92,113921.11,107004.44,101583.944,IRB
Total Liabilities,121155.7179,349970.5829,372941.6,413692.73,347106.94,341809.25,332052.79,342728.75,300009.79,293872.78,311758.091,IRB
Common Stock,3323.6411,3514.5,3514.5,3514.5,3514.5,3514.5,3514.5,3514.5,6039,6039,6039,IRB
Additional Paid In Capital,10035.15865,14060.08568,14060.09,14060.09,14060.09,14060.09,14060.09,14060.09,64402.51,64402.51,,IRB
Retained Earnings,20963.88108,24749.74996,29504.02,33857.08,38081.43,47116.17,54208.58,53611.89,57148.95,63598.93,,IRB
Treasury Stock,,,,,,,,,,,,IRB
Comprehensive Inc. and Other,1284.305678,1284.305678,1284.31,1284.31,1269.18,-1539.3,-4954.4,-2178.8,-1934.1,-251.5,131406.052,IRB
Total Common Equity,35606.9865,43608.64132,48362.92,52715.98,56925.2,63151.5,66828.79,69007.69,125656.41,133788.99,137445.052,IRB
Minority Interest,356.056598,350.514396,355,,,,,,,,,IRB
Total Equity,35963.0431,43959.15571,48717.92,52715.98,56925.2,63151.5,66828.79,69007.69,125656.41,133788.99,137445.052,IRB
Total Liabilities And Equity,157118.761,393929.7386,421659.52,466408.71,404032.14,404960.75,398881.58,411736.44,425666.2,427661.77,449203.143,IRB
Supplemental Items,,,,,,,,,,,,IRB
Total Shares Out. on Filing Date,3323.6411,3514.5,3514.5,3514.5,3514.5,3514.5,3514.5,3514.5,6039,6039,6039,IRB
Total Shares Out. on Balance Sheet Date,3323.6411,3514.5,3514.5,3514.5,3514.5,3514.5,3514.5,3514.5,6039,6039,6039,IRB
Book Value/Share,10.713246,12.408206,13.760967,14.999567,16.19724,17.968843,19.015162,19.635137,20.807486,22.154162,22.759571,IRB
Tangible Book Value,-91312.5,-318743.4,-339841.5,-256203.8,-307817.2,-302169,-211893.7,-206919.6,-137838,-121587.1,-108549.3,IRB
Tangible Book Value/Share,-27.47,-90.69,-96.7,-72.9,-87.58,-85.98,-60.29,-58.88,-22.82,-20.13,-17.97,IRB
Total Debt,110909.0617,125767.9111,156259.62,139859.13,138256.05,165984.35,91991.82,192239.6,167029.57,167481.93,186533.846,IRB
Net Debt,95953.94142,109930.8945,140897.18,136104.31,134354.99,162884.03,87435.1,182582.17,161864.84,162519.34,166257.503,IRB
Debt Equiv. of Unfunded Proj. Benefit Obligation,93.029078,118.677305,129.95,158.51,181.41,234.8,234.26,261.71,299.62,27.1,,IRB
Debt Equivalent Oper. Leases,866.533176,1074.457904,984.8,1210.24,1807.52,2048.48,1539.76,1659.44,1581.2,1662.88,,IRB
Total Minority Interest,356.056598,350.514396,355,,,,,,,,,IRB
Equity Method Investments,,,,,,,38949.68,39895.53,39525.1,43188.64,87561.199,IRB
Inventory Method,,,,,,,,,,,,IRB
Raw Materials Inventory,2683.398269,2598.496975,3088.41,3527.09,4872.56,4424.86,3313.55,3216.72,3174.59,2990.01,,IRB
Work in Progress Inventory,,70.748817,111.08,,,,,,,,,IRB
Land,76.336656,85.4229,100.65,90.79,92.05,92.05,92.05,92.05,92.05,121.86,,IRB
Buildings,351.40702,391.772804,321.19,372.66,369.7,375.6,520.19,564.68,1450.04,1361.53,,IRB
Machinery,5839.993767,6276.08524,2810.59,3054.91,1915.99,2117.11,1968.96,1816,2560.24,2619.84,,IRB
Construction in Progress,482.874916,804.022321,784.05,609.7,650.71,360.6,360.6,360.6,267.55,75.35,,IRB
Full Time Employees,,6000,5025,3898,4571,4031,3508,3666,3442,3363,,IRB
Accum. Allowance for Doubtful Accts,3.004643,3.004643,,,,,,,,,,IRB
Order Backlog,,,,,,,,,,205723,,IRB
Filing Date,,,,,,,,,,,,IRB
Restatement Type,,,,,,,,,,,,IRB
Calculation Type,,,,,,,,,,,,IRB
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,IRB
,,,,,,,,,,,,IRB
Cash And Equivalents,28027.3,13212.14,25906.76,14537.44,15541.1,8921.2,5128.7,4142,12577.7,23381.1,49843.3,IRCON
Short Term Investments,2551.5,20391.31,21184.46,30884.56,31175.4,21799.3,21655.6,2282.9,43076.5,29093.5,5635.1,IRCON
Trading Asset Securities,,683.91,1324.81,2499.14,2161.7,997.2,,,,,,IRCON
Total Cash & ST Investments,30578.8,34287.36,48416.03,47921.14,48878.2,31717.7,26784.3,6424.9,55654.2,52474.6,55478.4,IRCON
Accounts Receivable,11088.6,9936.99,8493.56,8727.32,10578.6,10810.1,9456.1,9878.4,11994.1,18015,8033.3,IRCON
Other Receivables,91,1622.05,2432.54,2869.04,3902.7,12046.7,2730.5,2227.3,2342.1,4106.8,725.4,IRCON
Notes Receivable,26,204.71,17.05,802.14,19.1,18.9,16.2,9.5,8,8.4,9.3,IRCON
Total Receivables,11205.6,11763.75,10943.15,12398.5,14500.4,22875.7,12202.8,12115.2,14344.2,22130.2,8768,IRCON
Inventory,1276.4,1235.89,1625.73,1844.12,1407.4,3319.4,3206.7,1206.5,2765.9,2118.3,2374.4,IRCON
Prepaid Exp.,54.4,35.62,55.15,35.73,64.7,52.9,37.2,79,105.9,123.9,,IRCON
Other Current Assets,6037.4,3999.94,5326.17,6785.25,11279.2,16984.1,24249.7,55154.7,29657.8,35326.5,53367.3,IRCON
Total Current Assets,49152.6,51322.56,66366.23,68984.74,76129.9,74949.8,66480.7,74980.3,102528,112173.5,119988.1,IRCON
"Gross Property, Plant & Equipment",5420.8,5443.42,5776.72,5326.03,2096.1,2626.7,3676.4,3645.2,3277,3568.2,,IRCON
Accumulated Depreciation,-3385.8,-3813.1,-4197.8,-3850,-658.7,-784.2,-836.7,-965.7,-1122.4,-1429.5,,IRCON
"Net Property, Plant & Equipment",2035,1630.28,1578.88,1476.07,1437.4,1842.5,2839.7,2679.5,2154.6,2138.7,7645.1,IRCON
Long-term Investments,1911.9,1735.62,3494.69,5309.38,5680.9,7088.3,8034.7,8340.4,9207.5,9493.7,9896.9,IRCON
Other Intangibles,5921.6,872.49,1457.61,6180.6,10296.9,12835.1,12383.6,11561.8,11108.8,10778.2,9775.3,IRCON
Accounts Receivable Long-Term,389.6,8.25,7.17,,,,,,,,,IRCON
Loans Receivable Long-Term,629.5,1286.01,606.06,789.05,396.7,395.1,393.3,4.8,5,5.2,4.4,IRCON
"Deferred Tax Assets, LT",3006.9,2675.17,2116.03,1450.48,1338.7,1284.2,901.4,704.9,725.3,1094,1195.2,IRCON
Other Long-Term Assets,5076.9,5679.63,5767.39,8123.74,32428.2,34789.6,10773.4,14268.1,18734.4,19690.5,25944.5,IRCON
Total Assets,68124,65210.01,81394.06,92314.06,127708.7,133184.6,101806.8,112539.8,144463.6,155373.8,174449.5,IRCON
LIABILITIES,,,,,,,,,,,,IRCON
Accounts Payable,5917.4,4425.57,4003.82,3606.46,5103.3,5654.9,5891.9,7580.2,10272.4,8308.2,8874.1,IRCON
Accrued Exp.,2972.8,1755.57,2250.28,2216.76,5376,10004.2,6072.6,6365.3,7547.9,10060.6,,IRCON
Short-term Borrowings,2.4,0.96,,,,,,,,,,IRCON
Curr. Port. of LT Debt,6679,,,,,5165.3,,188.4,946,638.8,1104.8,IRCON
Curr. Port. of Leases,,,,,,,0.3,0.1,0.1,0.9,7.2,IRCON
Curr. Income Taxes Payable,3351,1223.95,625.49,238.33,141.3,86.4,320.3,872.1,180.1,369.5,665.6,IRCON
"Unearned Revenue, Current",1101.6,300.91,782.1,1046.67,23771.3,21811,20849.9,20803.3,30216,28281.1,,IRCON
Other Current Liabilities,6817.2,17491.7,24814.01,26517.78,10551.9,13866.5,19180.9,22021.8,23592.6,24994.8,60577.9,IRCON
Total Current Liabilities,26841.4,25198.66,32475.7,33626,44943.8,56588.3,52315.9,57831.2,72755.1,72653.9,71229.6,IRCON
Long-Term Debt,2837.1,,,,32000,25600,,3120.9,13044.1,14403.3,24566.8,IRCON
Long-Term Leases,,,,,,,1.4,1.5,1.5,4.2,25.2,IRCON
"Unearned Revenue, Non-Current",,,273.41,336.83,8175.1,6785.8,2678.8,3335,5016.9,7463.8,,IRCON
Pension & Other Post-Retire. Benefits,589.6,1406.21,767.8,530.95,529.6,11.6,11.3,11.5,10.9,10.7,,IRCON
Other Non-Current Liabilities,8232.4,3858.84,11269.55,19455.03,4447.9,4556.7,5086.6,4208.4,6967.6,8591.7,19566.9,IRCON
Total Liabilities,38500.5,30463.71,44786.46,53948.81,90096.4,93542.4,60094,68508.5,97796.1,103127.6,115388.5,IRCON
Common Stock,198,197.96,197.96,989.8,940.5,940.5,940.5,940.5,1881,1881,1881,IRCON
Additional Paid In Capital,,,,,,,,,,,,IRCON
Retained Earnings,29065.2,34289.19,36241.25,37123.65,36535.1,38655.7,40764.9,43092.5,44730.4,50092.6,,IRCON
Treasury Stock,,,,,,,,,,,,IRCON
Comprehensive Inc. and Other,157.1,46.31,-50.1,55.59,136.7,46,7.4,-1.7,44.8,141.3,56828.2,IRCON
Total Common Equity,29420.3,34533.46,36389.15,38169.04,37612.3,39642.2,41712.8,44031.3,46656.2,52114.9,58709.2,IRCON
Minority Interest,203.2,212.84,218.45,196.21,,,,,11.3,131.3,351.8,IRCON
Total Equity,29623.5,34746.3,36607.6,38365.25,37612.3,39642.2,41712.8,44031.3,46667.5,52246.2,59061,IRCON
Total Liabilities And Equity,68124,65210.01,81394.06,92314.06,127708.7,133184.6,101806.8,112539.8,144463.6,155373.8,174449.5,IRCON
Supplemental Items,,,,,,,,,,,,IRCON
Total Shares Out. on Filing Date,989.8,989.8,989.8,989.8,940.51574,940.51574,940.51574,940.51574,940.51574,940.51574,942.137404,IRCON
Total Shares Out. on Balance Sheet Date,989.8,989.8,989.8,989.8,940.51574,940.51574,940.51574,940.51574,940.51574,940.51574,942.137404,IRCON
Book Value/Share,29.723479,34.889331,36.764144,38.562376,39.991143,42.149427,44.350985,46.816122,49.607037,55.410981,62.314901,IRCON
Tangible Book Value,23498.7,33660.97,34931.54,31988.44,27315.4,26807.1,29329.2,32469.5,35547.4,41336.7,48933.9,IRCON
Tangible Book Value/Share,23.740856,34.00785,35.291513,32.318084,29.043001,28.502553,31.184167,34.523079,37.795646,43.951098,51.939239,IRCON
Total Debt,9518.5,0.96,0,0,32000,30765.3,1.7,3310.9,13991.7,15047.2,25704,IRCON
Net Debt,-21060.3,-34286.4,-48416,-47921.1,-16878.2,-952.4,-26782.6,-3114,-41662.5,-37427.4,-29774.4,IRCON
Debt Equiv. of Unfunded Proj. Benefit Obligation,1400.9,1474.9,978.9,681.9,1684.6,53,46.4,60.4,59.4,83.9,,IRCON
Debt Equivalent Oper. Leases,1876.8,674.08,-157,-9.6,-652,-807.2,-197.6,-329.6,-619.2,-1644.8,,IRCON
Total Minority Interest,203.2,212.84,218.45,196.21,,,,,11.3,131.3,351.8,IRCON
Equity Method Investments,,73.64,580.83,2395.74,2764.2,4174.3,5120.2,5588.9,6955.7,8241.7,8645,IRCON
Inventory Method,,,,,,,,,,,,IRCON
Raw Materials Inventory,396.5,585.31,898.67,407,306.4,544.8,570,697.9,598.2,383,,IRCON
Work in Progress Inventory,845.4,559.05,507.55,986.37,1083.1,2771.7,2633.8,500.4,2161.8,1732.2,,IRCON
Other Inventory Accounts,,,,,17.9,2.9,2.9,8.2,5.9,3.1,,IRCON
Land,387,364.53,364.53,435.59,438.4,437.8,795.8,795.8,426.9,426.9,,IRCON
Buildings,624,611.74,618.28,615.86,521.9,522.2,680.3,693.8,501.7,506.5,,IRCON
Machinery,3832.3,4099.82,4422.33,3945.59,1104.3,1163.7,2105.6,2058.9,2223.2,2481.7,,IRCON
Construction in Progress,220.9,10.73,14.98,19.99,31.5,503,29.7,31.7,60.2,84.7,,IRCON
Full Time Employees,1579,1472,1499,1495,1179,1234,1153,1048,985,968,,IRCON
"Assets on Oper. Lease, Gross",356.6,356.6,356.6,309,,,,,,,,IRCON
"Assets on Oper. Lease, Accum. Depr.",-338.7,-338.7,-338.7,-293.5,,,,,,,,IRCON
Accum. Allowance for Doubtful Accts,312.1,162.52,158.22,208.46,267.1,272.8,271.8,204.8,328,634.1,,IRCON
Order Backlog,120710,,175688.6,188783.9,224070,339010,307130,346890,437580,351950,,IRCON
Filing Date,,,,,,,,,,,,IRCON
Restatement Type,,,,,,,,,,,,IRCON
Calculation Type,,,,,,,,,,,,IRCON
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,IRCON
,,,,,,,,,,,,IRCON
Cash And Equivalents,34901.9,78962.2,60633,3330.7,1530.7,3178.1,6503.5,2904.2,2713.7,4633.5,72176.8,ITC
Short Term Investments,72355,61350.9,291.9,30097.5,31326.9,43733.6,74226,47339.5,56688.3,41801.6,129444.2,ITC
Trading Asset Securities,,,66217.8,108873.9,105690.7,133475,179483.3,148463.3,122642.8,172328.6,,ITC
Total Cash & ST Investments,107256.9,140313.1,127142.7,142302.1,138548.3,180386.7,260212.8,198707,182044.8,218763.7,201621,ITC
Accounts Receivable,24392.1,19820.7,19171.8,24742.9,26822.9,40352.8,25624.8,25017,24619,29561.7,40258.2,ITC
Other Receivables,3447.2,4054.3,5859,6147.7,8716.4,8874.8,9700.1,9156.6,12080.9,13136,,ITC
Notes Receivable,1075,1520.3,80.7,67.8,58.4,67.5,63.3,34.7,67.7,71.2,98.1,ITC
Total Receivables,28914.3,25395.3,25111.5,30958.4,35597.7,49295.1,35388.2,34208.3,36767.6,42768.9,40356.3,ITC
Inventory,82552.4,85868.7,91293.5,81861.5,75845.3,79439.7,89655.3,105072.2,109735.9,119141.3,141528.8,ITC
Restricted Cash,,,,1576.8,1584.5,1692,1680.7,2092.3,2244.9,2394.3,,ITC
Other Current Assets,7087,4166.4,5077.3,5992.2,12360.4,6659.2,8116.5,9840.1,11531.3,13640.7,27149.3,ITC
Total Current Assets,225810.6,255743.5,248625,262691,263936.2,317472.7,395053.5,349919.9,342324.5,396708.9,410655.4,ITC
"Gross Property, Plant & Equipment",223412.7,249812.3,180240.1,210782,246377.9,272984.2,298693.1,316428.9,331711.5,353178.6,,ITC
Accumulated Depreciation,-67096.5,-76623.5,-10356.8,-21317.3,-32745.1,-45465,-60176.2,-75073.1,-88981.4,-103411.9,,ITC
"Net Property, Plant & Equipment",156316.2,173188.8,169883.3,189464.7,213632.8,227519.2,238516.9,241355.8,242730.1,249766.7,268725.9,ITC
Long-term Investments,7985.2,8076.8,60568.3,66952,125056.7,132163.2,107211.2,100538.6,140926.8,158468.5,185785.9,ITC
Goodwill,2971.4,2319.7,2025.3,2025.3,2025.3,2025.3,2025.3,7797.3,7797.3,7797.3,7797.3,ITC
Other Intangibles,1099.1,4526.3,4754.9,4743.7,4664.8,5561.6,5302.2,20179,20401.9,27459.1,26877.5,ITC
Loans Receivable Long-Term,3589.5,3557.5,129.6,85.4,96.9,83.4,52.7,40.7,66.1,54.8,40.5,ITC
"Deferred Tax Assets, LT",355.2,385.7,405.4,449.5,479.8,593.7,562.9,585.4,635.3,520.2,721.9,ITC
Other Long-Term Assets,10712.1,12109.6,30527,33021.1,32996.1,32565,24945.7,17776.3,17713.5,18054.3,17657.2,ITC
Total Assets,408839.3,459907.9,516918.8,559432.7,642888.6,717984.1,773670.4,738193,772595.5,858829.8,918261.6,ITC
LIABILITIES,,,,,,,,,,,,ITC
Accounts Payable,21062.5,20204.7,23392.9,26593.3,34961.8,35095.8,36298.3,43187.3,44172.6,46589.9,47978.3,ITC
Accrued Exp.,1059.3,938.3,25417.6,27951.4,41040.1,43572.2,34006.1,35644,37995.3,42451.6,1069.1,ITC
Short-term Borrowings,1502.4,1953.9,439.5,191.1,173.5,18.6,14.2,38.8,,339.6,,ITC
Curr. Port. of LT Debt,157.7,127.3,131.7,82.1,70.7,34.3,25.6,6.5,10.4,16.6,95.2,ITC
Curr. Port. of Leases,,,,,,,638.7,540.6,501.8,538.6,615.4,ITC
Curr. Income Taxes Payable,10804,10609.9,848,1507,685.6,4236.9,2488.7,3327.5,6870.9,9116.2,9408.8,ITC
"Unearned Revenue, Current",,,82.7,105.8,122.9,72.8,95.3,,,,,ITC
Other Current Liabilities,84274.7,87765,16272.2,14779.4,15446.9,17089.3,22030.8,24152.1,32086.1,38341.6,77737.2,ITC
Total Current Liabilities,118860.6,121599.1,66584.6,71210.1,92501.5,100119.9,95597.7,106896.8,121637.1,137394.1,136904,ITC
Long-Term Debt,764,606.8,266.6,184,115,81.5,59,55.8,48.5,34.9,17.6,ITC
Long-Term Leases,,,,,,,2040,2069.6,1936.7,2133.7,2306.1,ITC
"Unearned Revenue, Non-Current",,,20.3,177.9,421.9,65.1,162,155.4,364.3,828.4,1497.2,ITC
Pension & Other Post-Retire. Benefits,1311.6,1235.8,1351.3,1581.3,1493.4,1616.6,1750.8,1872.1,2207.6,2589.2,,ITC
"Def. Tax Liability, Non-Curr.",13069.9,16427.7,18800,18787.7,19230.2,20520.6,16272,17363.9,16734.7,16290,21414.4,ITC
Other Non-Current Liabilities,433.3,432.5,491.8,415,680.8,737,1281.6,2837.9,1447.9,4171.6,7222.6,ITC
Total Liabilities,134439.4,140301.9,87514.6,92356,114442.8,123140.7,117163.1,131251.5,144376.8,163441.9,169361.9,ITC
Common Stock,7953.2,8015.5,8047.2,12147.4,12204.3,12258.6,12292.2,12308.8,12323.3,12428,12484.7,ITC
Additional Paid In Capital,41333.5,51059.2,56570.3,64034.1,74155.8,84939.3,91826.6,95828.1,99593.1,130367.9,,ITC
Retained Earnings,218574.3,254375.5,342700.3,363508.4,407827.6,458875.5,526601.7,474184.2,494878.3,535436.9,,ITC
Treasury Stock,,,,,,,,,,,,ITC
Comprehensive Inc. and Other,4508.6,3904.7,19477.4,24439.4,30913.4,35335.3,22012.1,21152.3,17761,13319.8,732585.3,ITC
Total Common Equity,272369.6,317354.9,426795.2,464129.3,525101.1,591408.7,652732.6,603473.4,624555.7,691552.6,745070,ITC
Minority Interest,2030.3,2251.1,2609,2947.4,3344.7,3434.7,3774.7,3468.1,3663,3835.3,3829.7,ITC
Total Equity,274399.9,319606,429404.2,467076.7,528445.8,594843.4,656507.3,606941.5,628218.7,695387.9,748899.7,ITC
Total Liabilities And Equity,408839.3,459907.9,516918.8,559432.7,642888.6,717984.1,773670.4,738193,772595.5,858829.8,918261.6,ITC
Supplemental Items,,,,,,,,,,,,ITC
Total Shares Out. on Filing Date,11929.77443,12023.27931,12070.81049,12147.38307,12204.29491,12258.6316,12292.23124,12308.84423,12323.25593,12428.01774,12489.14634,ITC
Total Shares Out. on Balance Sheet Date,11929.77443,12023.27931,12070.81049,12147.38307,12204.29491,12258.6316,12292.23124,12308.84423,12323.25593,12428.01774,12489.14634,ITC
Book Value/Share,22.831077,26.395036,35.357625,38.208171,43.025926,48.244267,53.10123,49.027625,50.681062,55.644642,59.6574,ITC
Tangible Book Value,268299.1,310508.9,420015,457360.3,518411,583821.8,645405.1,575497.1,596356.5,656296.2,710395.2,ITC
Tangible Book Value/Share,22.489872,25.825641,34.795923,37.650932,42.47775,47.625364,52.505121,46.754763,48.39277,52.807793,56.881005,ITC
Total Debt,2424.1,2688,837.8,457.2,359.2,134.4,2777.5,2711.3,2497.4,3063.4,3034.3,ITC
Net Debt,-104832.8,-137625.1,-126304.9,-141844.9,-138189.1,-180252.3,-257435.3,-195995.7,-179547.4,-215700.3,-198586.7,ITC
Debt Equiv. of Unfunded Proj. Benefit Obligation,1216.2,877.8,1148,1385,403.6,776.5,2434.3,2924.2,2048.2,2492.3,,ITC
Debt Equivalent Oper. Leases,21283.2,22912,25192,26204,26627.2,27027.2,21400,18628,17101.6,21316.8,,ITC
Total Minority Interest,2030.3,2251.1,2609,2947.4,3344.7,3434.7,3774.7,3468.1,3663,3835.3,3829.7,ITC
Equity Method Investments,1266.5,1372.7,2779.8,2859.1,2769.3,2791.2,2665.6,2625.5,2692.4,3375.9,5497.3,ITC
Inventory Method,,,,,,,,,,,,ITC
Raw Materials Inventory,46411.3,44941.7,49892.3,49840.1,54070.7,55280.5,58333.4,66838,66024.4,71299.9,,ITC
Work in Progress Inventory,2230,2541.6,2495.8,2420.5,2619.3,3107.8,7588.6,8535.5,8123,10761.7,,ITC
Finished Goods Inventory,24322.2,30451.9,31779,25765.9,15095.6,16689.2,19221.8,24489,29759.7,30290.1,,ITC
Other Inventory Accounts,9588.9,7933.5,7126.4,3835,4059.7,4362.2,4511.5,5209.7,5828.8,6789.6,,ITC
Land,15637.1,17172.7,16153.4,16734.7,16847.3,20207.6,20243.2,20862,21071.6,21110.1,,ITC
Buildings,41085.8,48582.8,41825.5,46780.5,52627.2,69613.5,79217.8,81134.1,88204.5,95037.7,,ITC
Machinery,131924.5,152691,94609.2,108121.6,119139.2,139470,154045.2,161007.8,177691,194179,,ITC
Construction in Progress,30812.9,26715.5,25289.7,36842,54996,41261.8,32516.1,40044.5,31984.5,29847.1,,ITC
Leasehold Improvements,,,350.6,367.6,344.8,335.8,234,217.4,231.1,172.1,,ITC
Full Time Employees,25917,25787,25564,25883,26147,33305,28115,26071,23829,23725,,ITC
"Assets on Oper. Lease, Gross",3191.8,3779.8,1994.4,1918.3,2406.1,2078.2,2060.3,2123.8,2254.7,2439.5,,ITC
"Assets on Oper. Lease, Accum. Depr.",-1933.7,-2338.9,-203.4,-414.5,-577.7,-838.1,-1021.5,-1223,-1425.3,-1644,,ITC
Accum. Allowance for Doubtful Accts,722.2,737.3,959,1205.5,1339,1531.1,1748.9,1947.4,1968.7,1975.5,,ITC
Filing Date,,,,,,,,,,,,ITC
Restatement Type,,,,,,,,,,,,ITC
Calculation Type,,,,,,,,,,,,ITC
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,ITC
,,,,,,,,,,,,ITC
Cash And Equivalents,4086.448,4171.377,3720.227,1301.096,2113.327,2630.622,385.017,1467.312,1030.408,2571.363,8665.3,JKCEMENT
Short Term Investments,465,305,634.467,2894.735,3329.186,862.261,8112.937,11101.57,6546.544,9255.497,1001.5,JKCEMENT
Trading Asset Securities,,,,652.6,775.762,3943.114,10.345,982.701,2046.95,708.182,,JKCEMENT
Total Cash & ST Investments,4551.448,4476.377,4354.694,4848.431,6218.275,7435.997,8508.299,13551.583,9623.902,12535.042,9666.8,JKCEMENT
Accounts Receivable,1117.068,1770.801,2113.475,2019.334,2357.891,2572.367,2676.742,3615.335,4267.991,4800.754,5663.2,JKCEMENT
Other Receivables,78.991,95.411,83.239,266.123,430.883,678.222,971.566,1238.3,1275.089,2000.958,,JKCEMENT
