Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Cash Taxes Paid,46299.7,53348,64985.5,59032.5,44507.6,83562.4,23918.9,38335.9,49817.7,108754.3,133436,ICICIBANK
Net Debt Issued,105001.5,275635.6,89839.8,-322237,409981.4,-191772.4,33292.4,-701268,180382.6,273280.9,181922.4,ICICIBANK
Filing Date,,,,,,,,,,,,ICICIBANK
Restatement Type,,,,,,,,,,,,ICICIBANK
Calculation Type,,,,,,,,,,,,ICICIBANK
,,,,,,,,,,,,ICICIBANK
Net Income,14080.2,17937.2,22867.3,28681.7,36061.2,33007.5,44581.8,29301,48050.4,74435,89773,INDUSINDBK
Depreciation & Amort.,981.5,1268.5,1565.2,1435,1584,1735.8,2248.5,2472.6,2701.9,3155,4630.4,INDUSINDBK
"Depreciation & Amort., Total",981.5,1268.5,1565.2,1435,1584,1735.8,2248.5,2472.6,2701.9,3155,4630.4,INDUSINDBK
Other Amortization,,,,472,532.4,552.7,660.9,803.8,818.3,917.1,,INDUSINDBK
(Gain) Loss On Sale of Assets,-1.7,19.1,-69.9,-31.5,-80.1,11.8,86.2,-13.8,11.3,27.8,31.4,INDUSINDBK
(Gain) Loss On Sale Of Invest.,1136.9,-348.5,658.4,1098.7,3001.8,4678.7,9326.9,8482.1,7422.6,7841.4,8432.9,INDUSINDBK
Provision for Credit Losses,3800.7,4554.7,6426.4,10599.7,10545.7,29341.7,41771.7,73337.2,62985.5,41854.3,33354.1,INDUSINDBK
(Income) Loss on Equity Invest.,,,2.8,2.8,1.3,2.7,3.2,2.2,4,3.6,3.1,INDUSINDBK
Stock-Based Compensation,3.1,30.3,22.2,32.9,12.1,3,3.7,1.4,123.1,282.5,591.9,INDUSINDBK
Change in Other Net Operating Assets,-134128.8,-171927.2,-247738.5,-258384.5,-508323.5,-559058.4,-296674.3,-204722.4,-324589.8,-693576.7,-789026.9,INDUSINDBK
Other Operating Activities,9214.8,8930.7,-1663.1,-3932.6,-1009,-6452.4,-4204.1,1661.9,-5599.1,12930,-1691.8,INDUSINDBK
Cash from Ops.,-104913.3,-139535.1,-217929.1,-220025.7,-457673.9,-496176.8,-202195.5,-88674,-208071.8,-552130,-653901.9,INDUSINDBK
Capital Expenditures,-1770.6,-2786.3,-2690.2,-2871.9,-2357.9,-6434.6,-4204.7,-3412,-4143,-5710.9,-7300.1,INDUSINDBK
"Sale of Property, Plant and Equipment",33.5,24.7,115.1,135.5,162.4,55.3,43.2,100.7,81.4,109.3,187.4,INDUSINDBK
Cash Acquisitions,,,,,,,,,,,,INDUSINDBK
Divestitures,,,,,,,,,,,,INDUSINDBK
Net Cash from Investments,,,,,,,,,,,,INDUSINDBK
Net (Increase)/Decrease in Loans Orig/Sold,,,,,,,,,,,,INDUSINDBK
Deferred Charges,,,,,,,,,,,,INDUSINDBK
Total Other Investing Activities,,,,,,,,,,,,INDUSINDBK
Cash from Investing,-1737,-2761.6,-2575.1,-2736.4,-2195.5,-6379.4,-4161.6,-3311.3,-4061.6,-5601.6,-7112.7,INDUSINDBK
Short Term Debt Issued,,,,,,,,,,,,INDUSINDBK
Long-Term Debt Issued,53524,60812,,25000,158353.8,90320.4,126248,,,26880.1,900.7,INDUSINDBK
Total Debt Issued,53524,60812,,25000,158353.8,90320.4,126248,,,26880.1,900.7,INDUSINDBK
Short Term Debt Repaid,,,,,,,,,,,,INDUSINDBK
Long-Term Debt Repaid,-500,-2251,-23231.9,-50421.7,,,,-94307.4,-67995.9,-10000,-14899,INDUSINDBK
Total Debt Repaid,-500,-2251,-23231.9,-50421.7,,,,-94307.4,-67995.9,-10000,-14899,INDUSINDBK
Issuance of Common Stock,351.6,662.5,51252,966.2,1019.6,1005.4,606,53349.5,28844.3,857.1,2446.6,INDUSINDBK
Common Dividends Paid,-1569.8,-2154.3,-2848.3,-3227.1,-4322.4,-5429.4,-6265.2,,-3869.9,-6588.9,-10863.8,INDUSINDBK
Total Dividends Paid,-1569.8,-2154.3,-2848.3,-3227.1,-4322.4,-5429.4,-6265.2,,-3869.9,-6588.9,-10863.8,INDUSINDBK
Net Incr. (Decr.) in Deposit Accounts,63855.7,136320.8,188659.8,335718.8,250669.5,432287.3,73122,538431.1,374793.7,427707.2,484654.8,INDUSINDBK
Special Dividend Paid,,,,,,,,,,,,INDUSINDBK
Other Financing Activities,-9804.2,-10996.3,,,,,6738.2,,,,,INDUSINDBK
Cash from Financing,105857.4,182393.7,213831.5,308036.2,405720.6,518183.8,200449,497473.3,331772.1,438855.6,462239.3,INDUSINDBK
Foreign Exchange Rate Adj.,,,,-110.3,25,47.6,209.8,69.9,109.5,796.6,81.8,INDUSINDBK
Misc. Cash Flow Adj.,,,,,,,18405.4,,,,,INDUSINDBK
Net Change in Cash,-792.9,40097,-6672.7,85163.8,-54123.8,15675.2,12707.1,405557.8,119748.2,-118079.5,-198693.5,INDUSINDBK
Supplemental Items,,,,,,,,,,,,INDUSINDBK
Cash Interest Paid,9804.2,10996.3,,,,,,,,,,INDUSINDBK
Cash Taxes Paid,7792.4,11220.1,13488.4,18847.8,19754.5,23244.5,21389.6,8331.3,21876.9,11957,31710.8,INDUSINDBK
Net Debt Issued,53024,58561,-23231.9,-25421.7,158353.8,90320.4,126248,-94307.4,-67995.9,16880.1,-13998.3,INDUSINDBK
Filing Date,,,,,,,,,,,,INDUSINDBK
Restatement Type,,,,,,,,,,,,INDUSINDBK
Calculation Type,,,,,,,,,,,,INDUSINDBK
,,,,,,,,,,,,INDUSINDBK
Net Income,1751,2013,2052,2140,2486,2199,2331,2613,2963,2981,3167,INFY
Depreciation & Amort.,214,164,192,226,254,287,364,441,405,467,517,INFY
Amort. of Goodwill and Intangibles,11,9,24,19,23,,43,,61,57,48,INFY
"Depreciation & Amort., Total",225,173,216,245,277,287,407,441,466,524,565,INFY
Other Amortization,1,2,6,9,12,,,,,,,INFY
(Gain) Loss From Sale Of Assets,,,,,18,39,,,,,,INFY
(Gain) Loss On Sale Of Invest.,,,-7,,,,,,,,,INFY
Asset Writedown & Restructuring Costs,,,,,,65,,,,,,INFY
(Income) Loss on Equity Invest.,,,,5,11,,,,,,,INFY
Stock-Based Compensation,,,1,17,13,29,34,45,56,64,79,INFY
Provision & Write-off of Bad debts,23,29,,20,5,34,23,25,23,35,15,INFY
Other Operating Activities,28,-277,-62,-47,-548,-306,88,48,-5,53,-55,INFY
Change in Acc. Receivable,-294,-246,-252,-260,-237,-411,-542,-248,-1064,-875,-322,INFY
Change in Acc. Payable,5,-3,37,-3,51,131,-52,-33,200,-35,11,INFY
Change in Unearned Rev.,-26,43,43,67,105,46,19,138,299,103,21,INFY
Change in Other Net Operating Assets,290,22,-172,-94,64,149,303,229,407,3,-333,INFY
Cash from Ops.,2003,1756,1862,2099,2257,2262,2611,3258,3345,2853,3148,INFY
Capital Expenditure,-451,-367,-413,-411,-310,-349,-465,-285,-290,-319,-266,INFY
Cash Acquisitions,,-206,-117,-5,-9,-110,-253,-186,-7,-121,-12,INFY
Divestitures,,,,,,,,,,,,INFY
Invest. in Marketable & Equity Securt.,-401,337,63,-2142,750,193,395,-701,-803,110,-540,INFY
Net (Inc.) Dec. in Loans Originated/Sold,,,,,,,,,,,,INFY
Other Investing Activities,29,31,-7,11,51,41,81,43,95,112,110,INFY
Cash from Investing,-823,-205,-474,-2547,482,-225,-242,-1129,-1005,-218,-708,INFY
Short Term Debt Issued,,,,,,,,,,,,INFY
Long-Term Debt Issued,,,,,,,,,,,,INFY
Total Debt Issued,,,,,,,,,,,,INFY
Short Term Debt Repaid,,,,,,,,,,,,INFY
Long-Term Debt Repaid,,,,,,,-80,-94,-125,-151,-245,INFY
Total Debt Repaid,,,,,,,-80,-94,-125,-151,-245,INFY
Issuance of Common Stock,,,,,1,1,1,2,2,4,1,INFY
Repurchase of Common Stock,,,,,-2042,-118,-1070,,-1503,-1398,,INFY
Common Dividends Paid,-519,-815,-1059,-1032,-1156,-1277,-1359,-1226,-1703,-1697,-1777,INFY
Total Dividends Paid,-519,-815,-1059,-1032,-1156,-1277,-1359,-1226,-1703,-1697,-1777,INFY
Special Dividend Paid,,,,,,-679,,,,,,INFY
Other Financing Activities,,,,,,,-5,1,4,-46,-95,INFY
Cash from Financing,-519,-815,-1059,-1032,-3197,-2073,-2513,-1317,-3325,-3288,-2116,INFY
Foreign Exchange Rate Adj.,-351,-208,-253,34,18,-184,-220,103,-90,-171,-32,INFY
Net Change in Cash,310,528,76,-1446,-440,-220,-364,915,-1075,-824,292,INFY
Supplemental Items,,,,,,,,,,,,INFY
Cash Interest Paid,,,,,,,,,,,,INFY
Cash Taxes Paid,638,1102,892,843,1059,975,639,863,1020,1088,1114,INFY
Levered Free Cash Flow,1222.2,1330.4,1185.2,1199,1261.9,1974.6,1370.5,2344.6,2644,2314.4,1440.2,INFY
Unlevered Free Cash Flow,1222.2,1330.4,1185.2,1199,1261.9,1974.6,1385.5,2360.9,2660.9,2336.2,1475.2,INFY
Change in Net Working Capital,-191,-83,126,236,392,-322,293,-13,-82,324,1299,INFY
Net Debt Issued,,,,,,,-80,-94,-125,-151,-245,INFY
Filing Date,,,,,,,,,,,,INFY
Restatement Type,,,,,,,,,,,,INFY
Calculation Type,,,,,,,,,,,,INFY
,,,,,,,,,,,,INFY
Net Income,88913.8,96631.7,93444.5,102894.4,112712,125923.3,153062.3,131611.9,152426.6,191916.6,204587.8,ITC
Depreciation & Amort.,9649.2,9822.9,10439.9,11168.2,11842.7,13480.6,16006.3,16088,16873.4,17107.3,18163.9,ITC
Amort. of Goodwill and Intangibles,,68.6,50.9,55.9,58.2,63.8,66.8,96.5,110.8,746.2,,ITC
"Depreciation & Amort., Total",9649.2,9891.5,10490.8,11224.1,11900.9,13544.4,16073.1,16184.5,16984.2,17853.5,18163.9,ITC
Other Amortization,,388.1,283.2,303.8,461.9,421.7,376,271.4,339.9,236.6,,ITC
(Gain) Loss From Sale Of Assets,52.1,271.8,561.1,-1360.8,-8,956.5,566.8,546.1,-562.2,44,-570.4,ITC
(Gain) Loss On Sale Of Invest.,-3022.3,-3701.2,-5376.8,-6207.1,-7527.4,-7773.5,-9741.8,-11440.2,-5389.9,-3925.5,-8499.5,ITC
Asset Writedown & Restructuring Costs,151.7,151.3,254.6,,,,,,,,,ITC
Provision for Credit Losses,,,2,,,,,,,,,ITC
(Income) Loss on Equity Invest.,,,-84.2,-59.7,-75.8,-117,-82.2,69.2,-174.8,-490.4,-276.1,ITC
Stock-Based Compensation,,,5484.2,4960.2,3934.1,2397,1129.9,262.7,331.7,604.1,1073,ITC
Provision & Write-off of Bad debts,203.4,230.6,293.3,340.8,308.2,325.6,375.9,299.3,149.8,59.6,148.1,ITC
Other Operating Activities,-4068.5,-5743.9,-4592.5,-6266.4,-7375.7,-5088.6,-17824.8,-8406.2,-5354.7,-9854.8,-9467.9,ITC
Change in Acc. Receivable,-15460.5,5585,-2066.1,-8695.5,-9637.3,-7546.9,14110,-655.8,-7322.9,-8842.1,-9336.4,ITC
Change In Inventories,-7545.7,-5047.8,-6925.3,5925.5,6016.2,-3594.4,-5079.9,-14597.8,-4663.7,-9405.4,-25448.7,ITC
Change in Acc. Payable,4562.6,-225.1,6221.6,3213.8,20984.9,6386,-6068.7,11124.6,10991.1,10579.3,1414.8,ITC
Change in Other Net Operating Assets,,,,,,,,,,,,ITC
Cash from Ops.,73435.8,98432,97990.4,106273.1,131694,125834.1,146896.6,125269.7,157755.1,188775.5,171788.6,ITC
Capital Expenditure,-28871.6,-33000.6,-23476.8,-31216.1,-28782,-31691.2,-24411.5,-18366.4,-21416.4,-27429.9,-35625.3,ITC
"Sale of Property, Plant, and Equipment",382.6,87.3,75.3,500.7,797.2,278.2,270.2,25.3,1331,491.7,1074.8,ITC
Cash Acquisitions,,,-75.4,,,,,-21892.2,-712.5,-637.5,,ITC
Divestitures,,,,1289.6,175.3,177.5,,,,,,ITC
Invest. in Marketable & Equity Securt.,-9778.8,-28161.5,-23803.1,-10749,-50814.2,-36198.7,-52933.8,84198.5,-12034.8,-43178.2,38450.8,ITC
Net (Inc.) Dec. in Loans Originated/Sold,55.7,35.4,5.7,43.1,-16.1,4.4,34.9,42.2,-58.4,7.8,-12.6,ITC
Other Investing Activities,5671.3,8285.1,8066.2,7622.4,7500.9,11973,15300,12821.7,10506.2,13423.2,11740,ITC
Cash from Investing,-32540.8,-52754.3,-39208.1,-32509.3,-71138.9,-55456.8,-61740.2,56829.1,-22384.9,-57322.9,15627.7,ITC
Short Term Debt Issued,1502.4,451.5,,,105.6,,,,,,80,ITC
Long-Term Debt Issued,58.1,65.3,,,,,,,,,,ITC
Total Debt Issued,1560.5,516.8,,,105.6,,,,,,80,ITC
Short Term Debt Repaid,,,,,,-105.6,,,,,,ITC
Long-Term Debt Repaid,-150.4,-202.1,-127.3,-131.7,-82.1,-70.7,-527.7,-570.1,-593.7,-598.4,-684.6,ITC
Total Debt Repaid,-150.4,-202.1,-127.3,-131.7,-82.1,-176.3,-527.7,-570.1,-593.7,-598.4,-684.6,ITC
Issuance of Common Stock,6910.8,9787.9,5317,10669.6,9127.9,9691.3,6253,2906.5,2918.2,24773.9,14428.3,ITC
Common Dividends Paid,-42386,-48756.1,-51326.5,-69940.7,-57700.1,-62852.1,-70487.6,-186292.9,-135470.7,-151504.4,-198992,ITC
Total Dividends Paid,-42386,-48756.1,-51326.5,-69940.7,-57700.1,-62852.1,-70487.6,-186292.9,-135470.7,-151504.4,-198992,ITC
Special Dividend Paid,,,,,,,,,,,,ITC
Other Financing Activities,-7150.3,-7956.8,-9988.4,-13607.5,-13662.6,-15349.3,-17052.5,-2381.8,-2658.8,-2731.4,-341.3,ITC
Cash from Financing,-41215.4,-46610.3,-56125.2,-73010.3,-62211.3,-68686.4,-81814.8,-186338.3,-135805,-130060.3,-185509.6,ITC
Misc. Cash Flow Adj.,,,0.8,,,,,570.7,,,,ITC
Net Change in Cash,-320.4,-932.6,2657.9,753.5,-1656.2,1690.9,3341.6,-3668.8,-434.8,1392.3,1906.7,ITC
Supplemental Items,,,,,,,,,,,,ITC
Cash Interest Paid,477.3,161.2,275.2,254.9,486.2,980.6,438.4,412.3,395.5,414.2,462.5,ITC
Cash Taxes Paid,46727.4,52609.6,60705.8,68305.4,71364.4,70170.6,64303.1,43725.5,49819.5,62298.1,61074.4,ITC
Levered Free Cash Flow,46061.2,64519.1,16983.9,80462,98621.2,87652.4,100372.8,89727.6,119678.8,137832.4,104666.5,ITC
Unlevered Free Cash Flow,46318.4,64807.3,17318.9,80613.8,99183.1,87936.3,100714.6,90006.2,119924.8,138102.4,104953.8,ITC
Change in Net Working Capital,10044.3,-5440.7,59556.4,-6016.9,-16321.4,3888.4,2902.5,4980.5,-5747.2,2291.1,31395.1,ITC
Net Debt Issued,1410.1,314.7,-127.3,-131.7,23.5,-176.3,-527.7,-570.1,-593.7,-598.4,-604.6,ITC
Filing Date,,,,,,,,,,,,ITC
Restatement Type,,,,,,,,,,,,ITC
Calculation Type,,,,,,,,,,,,ITC
,,,,,,,,,,,,ITC
Net Income,4519.5,17965.7,-3354.3,35230,62140,76390,40300,79110,206650,41440,88120,JSWSTEEL
Depreciation & Amort.,31632,34111.6,32988.2,34050,33580,40120,42040,45200,58120,73050,81720,JSWSTEEL
Amort. of Goodwill and Intangibles,38.2,36,42.1,40,70,110,220,1240,1600,1350,,JSWSTEEL
"Depreciation & Amort., Total",31670.2,34147.6,33030.3,34090,33650,40230,42260,46440,59720,74400,81720,JSWSTEEL
Other Amortization,155.9,197.3,195.3,210,220,180,200,350,290,340,,JSWSTEEL
(Gain) Loss From Sale Of Assets,31.3,-357.8,213,1340,1220,80,300,370,720,520,930,JSWSTEEL
(Gain) Loss On Sale Of Invest.,-237.5,-10,292.8,-50,900,-240,-200,-50,-7180,-1400,-530,JSWSTEEL
Asset Writedown & Restructuring Costs,,,18296.9,640,2640,,7520,830,6300,,,JSWSTEEL
(Income) Loss on Equity Invest.,,,,,-420,300,900,-10,-9170,1370,1720,JSWSTEEL
Stock-Based Compensation,,,,130,280,500,370,200,1610,2190,2080,JSWSTEEL
Provision & Write-off of Bad debts,,,,10,1360,1520,1130,1010,560,110,340,JSWSTEEL
Other Operating Activities,24990.9,28830.1,15388.1,45970,32810,43180,18680,47000,75840,83210,82550,JSWSTEEL
Change in Acc. Receivable,2838.1,-2073.1,-2943.2,-13520,-6400,-22030,24580,720,-18840,3170,-1540,JSWSTEEL
Change In Inventories,-9755.4,-28539.2,25781.2,-30650,-11990,-17410,7440,-3350,-155930,7040,-32840,JSWSTEEL
Change in Acc. Payable,,25428.3,-21434.2,15610,25140,34060,1830,13480,130130,49650,8980,JSWSTEEL
Change in Other Net Operating Assets,-28277.8,3167.6,3507.3,-10130,-17760,-10430,-17460,2210,-28000,-28810,-110750,JSWSTEEL
Cash from Ops.,25935.2,78756.5,68973.2,78880,123790,146330,127850,188310,262700,233230,120780,JSWSTEEL
Capital Expenditure,-57628.5,-67206,-51659.6,-44350,-47360,-102060,-128100,-109660,-100910,-147840,-158010,JSWSTEEL
"Sale of Property, Plant, and Equipment",185.3,2071.8,42.3,450,600,440,430,510,430,350,2540,JSWSTEEL
Cash Acquisitions,,,,-1100,-3150,-10140,-640,-15750,-200,,-6300,JSWSTEEL
Divestitures,,,,,,,,,,,,JSWSTEEL
Sale (Purchase) of Real Estate properties,,,,,,,,,1350,1120,,JSWSTEEL
Invest. in Marketable & Equity Securt.,168,-9429.7,12460.5,-7120,3360,-4300,-72680,23260,-65210,28450,6190,JSWSTEEL
Net (Inc.) Dec. in Loans Originated/Sold,,,,,,,,,,,,JSWSTEEL
Other Investing Activities,562.6,863.6,611.9,1180,1260,1580,5130,3370,4670,10810,9200,JSWSTEEL
Cash from Investing,-56712.6,-73700.3,-38544.9,-50940,-45290,-114480,-195860,-98270,-159870,-107110,-146380,JSWSTEEL
Short Term Debt Issued,29876.1,,11965.3,25410,,41550,19400,,,17920,9670,JSWSTEEL
Long-Term Debt Issued,82834.1,139120.7,61012.5,45600,62090,89990,208140,158970,170430,179500,198910,JSWSTEEL
Total Debt Issued,112710.2,139120.7,72977.8,71010,62090,131540,227540,158970,170430,197420,208580,JSWSTEEL
Short Term Debt Repaid,,-36957.9,,,-27030,,,-46600,-44400,,,JSWSTEEL
Long-Term Debt Repaid,-52420.3,-74790,-70600.3,-60760,-74980,-65000,-112840,-78970,-200680,-146820,-169600,JSWSTEEL
Total Debt Repaid,-52420.3,-111747.9,-70600.3,-60760,-102010,-65000,-112840,-125570,-245080,-146820,-169600,JSWSTEEL
Issuance of Common Stock,,,531.4,570,490,,1070,390,720,590,60,JSWSTEEL
Repurchase of Common Stock,,,,-550,-760,-1530,-1010,,-5910,,,JSWSTEEL
Issuance of Pref. Stock,,,35,500,,,,,,,,JSWSTEEL
Common Dividends Paid,,,-3200.2,-2180,-6550,-9330,-11950,-4830,-15710,-41940,-8220,JSWSTEEL
Common and/or Pref. Dividends Paid,-3154.5,-3437.2,,,,,,,,,,JSWSTEEL
Total Dividends Paid,-3154.5,-3437.2,-3200.2,-2180,-6550,-9330,-11950,-4830,-15710,-41940,-8220,JSWSTEEL
Special Dividend Paid,,,,,,,,,,,,JSWSTEEL
Other Financing Activities,-24130.8,-25626.4,-31250.3,-35690,-35110,-38150,-50920,-43400,-51020,-69020,-80870,JSWSTEEL
Cash from Financing,33004.6,-1690.8,-31506.6,-27100,-81850,17530,51890,-14440,-146570,-59770,-50050,JSWSTEEL
Foreign Exchange Rate Adj.,29.9,-22.2,-28.8,,,30,-60,-30,-30,-190,-70,JSWSTEEL
Misc. Cash Flow Adj.,505,,,,,580,30,4200,12420,,1780,JSWSTEEL
Net Change in Cash,2762.1,3343.2,-1107.1,840,-3350,49990,-16150,79770,-31350,66160,-73940,JSWSTEEL
Supplemental Items,,,,,,,,,,,,JSWSTEEL
Cash Interest Paid,24130.8,25626.4,31250.3,35690,35110,38150,45200,43400,51020,69020,80870,JSWSTEEL
Cash Taxes Paid,4037.5,7727.8,2074,2370,14400,26300,11550,19300,53790,6380,27790,JSWSTEEL
Levered Free Cash Flow,-20764.3,-1442.9,-5907.6,-31900.9,37580,-19280,13251.2,17247.5,49405,63823.8,-82136.3,JSWSTEEL
Unlevered Free Cash Flow,-3078.8,18519.6,15210.8,-9594.7,59736.2,4026.2,38357.5,41028.8,76205,103230,-31480,JSWSTEEL
Change in Net Working Capital,16154.5,-10768.6,-9686,58655.9,-540,31530,-70590,-7480,94580,-91890,82670,JSWSTEEL
Net Debt Issued,60289.9,27372.8,2377.5,10250,-39920,66540,114700,33400,-74650,50600,38980,JSWSTEEL
Filing Date,,,,,,,,,,,,JSWSTEEL
Restatement Type,,,,,,,,,,,,JSWSTEEL
Calculation Type,,,,,,,,,,,,JSWSTEEL
,,,,,,,,,,,,JSWSTEEL
Net Income,24649.9,30454.5,34588.5,49404.3,62009.7,72041.3,85933.6,99902,120893.9,149250.1,182132.1,KOTAKBANK
Depreciation & Amort.,2078.6,2368.9,3445.1,3622.1,3834.3,4584.2,4648.9,4610.5,4803.5,5992.6,7917.5,KOTAKBANK
"Depreciation & Amort., Total",2078.6,2368.9,3445.1,3622.1,3834.3,4584.2,4648.9,4610.5,4803.5,5992.6,7917.5,KOTAKBANK
(Gain) Loss On Sale of Assets,-21.4,-150.8,-45.8,-137.1,-470,-216.1,-294.2,-386.6,-264.3,-107.8,-71.4,KOTAKBANK
(Gain) Loss On Sale Of Invest.,-3826.9,-24719.2,2265.4,-16723.5,-5087.2,-9574.4,11523.9,-45732.1,-12141.1,10603.7,-70717,KOTAKBANK
Provision for Credit Losses,1629,3223.1,8515.9,7973.9,8158.6,10675,23771.7,28804.2,8509.1,4578.5,18982.4,KOTAKBANK
Stock-Based Compensation,46.9,22.6,29.5,15,17.5,18,27.7,18.2,314.4,456.4,449.5,KOTAKBANK
Change in Other Net Operating Assets,-10224.4,-148374.2,-171868.8,-110661.9,-529449.7,-394590,-14804.4,-222637.6,-352332.3,-694613,-817930.3,KOTAKBANK
Other Operating Activities,942.7,1055.3,-941.5,2819.8,104.8,-598.8,-378.4,-479.4,1145.7,-442,-3874.1,KOTAKBANK
Cash from Ops.,15274.2,-136119.8,-124011.8,-63687.3,-460882.1,-317660.8,110428.8,-135900.7,-229071.2,-524281.6,-683111.3,KOTAKBANK
Capital Expenditures,-4423.3,-2919.1,-3251,-4045,-4258.4,-5249.6,-4526.2,-3685.9,-6697.7,-9867.6,-11266.9,KOTAKBANK
"Sale of Property, Plant and Equipment",91,240.6,147.1,224.1,598.3,339.3,399.3,684.5,364.4,261.3,346.1,KOTAKBANK
Cash Acquisitions,,,,,-14113.3,-206.9,,,,,-5319.4,KOTAKBANK
Divestitures,,,,,,,,,,,,KOTAKBANK
Net Cash from Investments,-6963.4,-41992.3,-83522,-48863,-38309.1,-28708.4,-127861.8,-108160,-103359.3,-95895.4,-74729.1,KOTAKBANK
Net (Increase)/Decrease in Loans Orig/Sold,,,,,,,,,,,,KOTAKBANK
Deferred Charges,,,,,,,,,,,,KOTAKBANK
Total Other Investing Activities,,,2,3,,,,,,,,KOTAKBANK
Cash from Investing,-11295.7,-44670.8,-86623.9,-52680.9,-56082.5,-33825.6,-131988.7,-111161.4,-109692.6,-105501.8,-90969.3,KOTAKBANK
Short Term Debt Issued,,,,,,,,,,,,KOTAKBANK
Long-Term Debt Issued,,24077.4,17601.3,59601.2,88925.7,78349.6,,,74038.6,18740.6,161525,KOTAKBANK
Total Debt Issued,,24077.4,17601.3,59601.2,88925.7,78349.6,,,74038.6,18740.6,161525,KOTAKBANK
Short Term Debt Repaid,,,,,,,,,,,,KOTAKBANK
Long-Term Debt Repaid,-71648.3,,,,,,-8622.2,-178378.2,,,,KOTAKBANK
Total Debt Repaid,-71648.3,,,,,,-8622.2,-178378.2,,,,KOTAKBANK
Issuance of Common Stock,14155,878.8,3639.1,2463.7,59531.8,2235.9,3606.1,78437.5,3585.6,2678.6,1992.3,KOTAKBANK
Issuance of Pref. Stock,,,,,,5000,,,,,,KOTAKBANK
Repurchase of Preferred Stock,,,,-403.5,,,,,,,-5000,KOTAKBANK
Common Dividends Paid,-641.5,,,,-1376.3,-1602.8,,,,,,KOTAKBANK
Pref. Dividends Paid,,,,,,,,-405,,,,KOTAKBANK
Common and/or Pref. Dividends Paid,,-699.3,-990.7,-1106.6,,,-1932.6,,-2189.6,-2589.2,-3366.2,KOTAKBANK
Total Dividends Paid,-641.5,-699.3,-990.7,-1106.6,-1376.3,-1602.8,-1932.6,-405,-2189.6,-2589.2,-3366.2,KOTAKBANK
Net Incr. (Decr.) in Deposit Accounts,75406.1,159137.1,174257.6,195912.4,356958,335884.6,355759.5,184712,312154.8,511857.3,839961.4,KOTAKBANK
Special Dividend Paid,,,,,,,,,,,,KOTAKBANK
Other Financing Activities,-1.4,,-5.6,-2.2,-287.1,-336.8,-401.3,-374.8,-0.5,,,KOTAKBANK
Cash from Financing,17270,183394,194501.7,256465,503752,419530.5,348409.5,83991.6,387588.9,530687.3,995112.5,KOTAKBANK
Foreign Exchange Rate Adj.,,,,-205.4,63.5,594.1,1304.3,-561.8,663.6,1694.7,365.2,KOTAKBANK
Misc. Cash Flow Adj.,,,63093.7,,1269.8,,,,,,1413.4,KOTAKBANK
Net Change in Cash,21248.6,2603.4,46959.7,139891.4,-11879.2,68638.3,328153.9,-163632.3,49488.6,-97401.4,222810.5,KOTAKBANK
Supplemental Items,,,,,,,,,,,,KOTAKBANK
Cash Interest Paid,469.1,419.7,625.1,951.7,659.4,561.6,652.4,1700,930.6,605.6,,KOTAKBANK
Cash Taxes Paid,11738.6,14183,16887,21095.2,29467.7,34644.4,29060.4,32260.8,37443.4,47653.8,60375.8,KOTAKBANK
Net Debt Issued,-71648.3,24077.4,17601.3,59601.2,88925.7,78349.6,-8622.2,-178378.2,74038.6,18740.6,161525,KOTAKBANK
Filing Date,,,,,,,,,,,,KOTAKBANK
Restatement Type,,,,,,,,,,,,KOTAKBANK
Calculation Type,,,,,,,,,,,,KOTAKBANK
,,,,,,,,,,,,KOTAKBANK
Net Income,49020,47648.2,42328.8,60412.3,73698.6,89051.3,95490.3,115829.3,86693.3,104707.2,130591.1,LT
Depreciation & Amort.,17296.3,20460.4,15863.3,16312.8,14521.3,14755.2,18175.3,19070.1,20294.4,23921,27907.5,LT
Amort. of Goodwill and Intangibles,-3080.4,4080.4,208.5,2086.1,2208.6,2572.2,6262.8,9064.7,9085.9,9921,8839.5,LT
"Depreciation & Amort., Total",14215.9,24540.8,16071.8,18398.9,16729.9,17327.4,24438.1,28134.8,29380.3,33842,36747,LT
Other Amortization,,,1795.5,,,,,,,,,LT
(Gain) Loss From Sale Of Assets,-695.4,-14013.4,-2970.8,-1136.9,-6862.3,-10059.7,372.1,-5285.8,-192.5,-1676.5,-6098.2,LT
(Gain) Loss On Sale Of Invest.,-2756.2,-4088.4,-657.3,226.7,23434.6,-435.2,-7338.4,-9675.1,-4281.4,6633.3,3212.7,LT
Asset Writedown & Restructuring Costs,242.3,1688.7,,5300.4,2557.4,1902.9,184.6,907.3,99.2,1180.5,76.3,LT
Stock-Based Compensation,756.8,684.7,653.3,881.7,1113.9,1510,1908.4,1376.7,1353.1,2495.1,2976.3,LT
Net Cash From Discontinued Ops.,,,,,,10103.9,7825.8,850.1,,,,LT
Other Operating Activities,21593.1,15722.1,15480.6,-3550.8,-12225.1,2506.1,20381.3,-3396.7,31017.5,26796.6,29008.4,LT
Change in Acc. Receivable,-128951.8,-97367.4,-94495.6,-24713.3,-145011.1,-92409.8,-112781.2,30115.1,-98517.2,-44952.6,-105484,LT
