Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Total Revenue,8711,9501,10208,10939,11799,12780,13561,16311,18212,18562,INFY
Cost Of Goods Sold,5430,6059,6446,7129,7821,8703,8953,11106,12825,13096,INFY
Gross Profit,3281,3442,3762,3810,3978,4077,4608,5205,5387,5466,INFY
Selling General & Admin Exp.,978,1040,1242,1151,1281,1353,1173,1450,1561,1632,INFY
R & D Exp.,,,,,,,,,,,INFY
Depreciation & Amort.,,,,,,,,,,,INFY
Other Operating Expense/(Income),,,,,,,,,,,INFY
"Other Operating Exp., Total",978,1040,1242,1151,1281,1353,1173,1450,1561,1632,INFY
Operating Income,2303,2402,2520,2659,2697,2724,3435,3755,3826,3834,INFY
Interest Expense,,,,,,-24,-26,-27,-35,-56,INFY
Interest and Invest. Income,473,412,384,367,300,264,218,221,226,487,INFY
Net Interest Exp.,473,412,384,367,300,240,192,194,191,431,INFY
Income/(Loss) from Affiliates,,,-5,-11,,,,,,,INFY
Currency Exchange Gains (Loss),78,25,35,36,45,73,28,36,51,23,INFY
Other Non-Operating Inc. (Exp.),7,39,22,71,42,26,30,27,40,34,INFY
EBT Excl. Unusual Items,2861,2878,2956,3122,3084,3063,3685,4012,4108,4322,INFY
Merger & Related Restruct. Charges,-4,-4,,,-1,,-110,,-1,,INFY
Impairment of Goodwill,,,,,-52,,,,,,INFY
Gain (Loss) On Sale Of Invest.,2,,18,39,24,32,21,24,18,34,INFY
Gain (Loss) On Sale Of Assets,,,,-18,-39,,,,,,INFY
Asset Writedown,,,,,-13,,,,,-10,INFY
Other Unusual Items,-41,-23,,,,,,,,,INFY
EBT Incl. Unusual Items,2818,2851,2974,3143,3003,3095,3596,4036,4125,4346,INFY
Income Tax Expense,805,799,834,657,803,757,973,1068,1142,1177,INFY
Earnings from Cont. Ops.,2013,2052,2140,2486,2200,2338,2623,2968,2983,3169,INFY
Earnings of Discontinued Ops.,,,,,,,,,,,INFY
Extraord. Item & Account. Change,,,,,,,,,,,INFY
Net Income to Company,2013,2052,2140,2486,2200,2338,2623,2968,2983,3169,INFY
Minority Int. in Earnings,,,,,-1,-7,-10,-5,-2,-2,INFY
Net Income,2013,2052,2140,2486,2199,2331,2613,2963,2981,3167,INFY
Pref. Dividends and Other Adj.,,,,,,,,,,,INFY
NI to Common Incl Extra Items,2013,2052,2140,2486,2199,2331,2613,2963,2981,3167,INFY
NI to Common Excl. Extra Items,2013,2052,2140,2486,2199,2331,2613,2963,2981,3167,INFY
Per Share Items,,,,,,,,,,,INFY
Basic EPS,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.8,INFY
Basic EPS Excl. Extra Items,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.8,INFY
Weighted Avg. Basic Shares Out.,4571.2,4571.2,4571.3,4510.7,4347.1,4257.8,4242.4,4209.5,4180.9,4138.6,INFY
Diluted EPS,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.8,INFY
Diluted EPS Excl. Extra Items,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.8,INFY
Weighted Avg. Diluted Shares Out.,4571.3,4571.4,4572.8,4515.1,4353.4,4265.1,4250.7,4218.5,4187.7,4144.7,INFY
Normalized Basic EPS,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,INFY
Normalized Diluted EPS,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,INFY
Dividends per Share,0.2,0.2,0.2,0.3,0.2,0.2,0.4,0.4,0.4,0.5,INFY
Payout Ratio %,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.6,INFY
Shares per Depository Receipt,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,INFY
Revenue,384333.1,391921,427766.1,434489.4,483526.8,494040.5,492727.8,606680.9,709368.5,703154.9,ITC
Other Revenue,4015,,,,,,,,,5655.1,ITC
Total Revenue,388348.1,391921,427766.1,434489.4,483526.8,494040.5,492727.8,606680.9,709368.5,708810,ITC
Cost Of Goods Sold,152146.4,140846.8,166036,164223.7,180706.6,180533.8,207037,270474.9,298639.8,272472.1,ITC
Gross Profit,236201.7,251074.2,261730.1,270265.7,302820.2,313506.7,285690.8,336206,410728.7,436337.9,ITC
Selling General & Admin Exp.,38002.1,46508,47699.8,49959.8,55103.5,55639.7,59082.6,62626.9,73322.4,61343.5,ITC
Provision for Bad Debts,,,,,,,,,,,ITC
R & D Exp.,,,,,,,,,,,ITC
Depreciation & Amort.,10256.9,10774,11527.9,12362.8,13966.1,16449.1,16455.9,17324.1,18090.1,18163.9,ITC
Other Operating Expense/(Income),56602.6,59242,59582.5,55388.2,62602.6,64698.6,56025.1,67553.9,80709.4,112450.9,ITC
"Other Operating Exp., Total",104861.6,116524,118810.2,117710.8,131672.2,136787.4,131563.6,147504.9,172121.9,191958.3,ITC
Operating Income,131340.1,134550.2,142919.9,152554.9,171148,176719.3,154127.2,188701.1,238606.8,244379.6,ITC
Interest Expense,-461.1,-536,-243,-899.1,-454.2,-546.8,-445.8,-393.6,-432,-459.6,ITC
Interest and Invest. Income,8845.1,9408.9,9033,9732.2,13211.7,15304.4,12979.8,10826.4,15340.2,,ITC
Net Interest Exp.,8384,8872.9,8790,8833.1,12757.5,14757.6,12534,10432.8,14908.2,-459.6,ITC
Income/(Loss) from Affiliates,128.9,84.2,59.7,75.8,117,82.2,-69.2,174.8,490.4,276.1,ITC
Currency Exchange Gains (Loss),304,-55,83.9,471.4,-69.5,343.8,-11.6,522.1,370,,ITC
Other Non-Operating Inc. (Exp.),314.1,426.8,412.7,192.2,259,8051.5,9657.8,5057.8,2536,27278.4,ITC
EBT Excl. Unusual Items,140471.1,143879.1,152266.2,162127.4,184212,199954.4,176238.2,204888.6,256911.4,271474.5,ITC
Restructuring Charges,,,,,704.7,,,,,,ITC
Impairment of Goodwill,-151.3,-254.6,,,,,,,,,ITC
Gain (Loss) On Sale Of Invest.,3701.2,5527.3,6636.2,7826.7,7538,2279.2,3699.6,1957.2,1558.7,,ITC
Gain (Loss) On Sale Of Assets,-271.6,-561.1,1360.8,8,-956.5,-566.8,-556.1,558.9,-47.6,,ITC
Legal Settlements,,,,4129,,,,,,,ITC
Other Unusual Items,,,,,,-1321.1,,,728.7,-75.7,ITC
EBT Incl. Unusual Items,143749.4,148590.7,160263.2,174091.1,191498.2,200345.7,179381.7,207404.7,259151.2,271398.8,ITC
Income Tax Expense,45964.2,53582.1,55490.9,59164.3,63139.2,44417.9,45552.9,52373.4,64384,63885.2,ITC
Earnings from Cont. Ops.,97785.2,95008.6,104772.3,114926.8,128359,155927.8,133828.8,155031.3,194767.2,207513.6,ITC
Earnings of Discontinued Ops.,,,,,,,,,,,ITC
Extraord. Item & Account. Change,,,,,,,,,,,ITC
Net Income to Company,97785.2,95008.6,104772.3,114926.8,128359,155927.8,133828.8,155031.3,194767.2,207513.6,ITC
Minority Int. in Earnings,-1153.5,-1564.1,-1877.9,-2214.8,-2435.7,-2865.5,-2216.9,-2604.7,-2850.6,-2925.8,ITC
Net Income,96631.7,93444.5,102894.4,112712,125923.3,153062.3,131611.9,152426.6,191916.6,204587.8,ITC
Pref. Dividends and Other Adj.,,,,,,,,,,,ITC
NI to Common Incl Extra Items,96631.7,93444.5,102894.4,112712,125923.3,153062.3,131611.9,152426.6,191916.6,204587.8,ITC
NI to Common Excl. Extra Items,96631.7,93444.5,102894.4,112712,125923.3,153062.3,131611.9,152426.6,191916.6,204587.8,ITC
Per Share Items,,,,,,,,,,,ITC
Basic EPS,8.1,7.8,8.5,9.3,10.3,12.5,10.7,12.4,15.5,16.4,ITC
Basic EPS Excl. Extra Items,8.1,7.8,8.5,9.3,10.3,12.5,10.7,12.4,15.5,16.4,ITC
Weighted Avg. Basic Shares Out.,11964.4,12053.6,12103.9,12175.8,12231.1,12279.3,12301.2,12316.6,12381.5,12459.7,ITC
Diluted EPS,8,7.7,8.4,9.2,10.2,12.4,10.7,12.4,15.5,16.4,ITC
Diluted EPS Excl. Extra Items,8,7.7,8.4,9.2,10.2,12.4,10.7,12.4,15.5,16.4,ITC
Weighted Avg. Diluted Shares Out.,12077.6,12120,12179.3,12246.8,12300.5,12292.5,12302.5,12322,12414.3,12490.1,ITC
Normalized Basic EPS,7.2,7.3,7.7,8.1,9.2,9.9,8.8,10.2,12.7,13.4,ITC
Normalized Diluted EPS,7.2,7.3,7.7,8.1,9.2,9.9,8.8,10.2,12.7,13.4,ITC
Dividends per Share,4.2,4.3,4.8,5.2,5.8,10.2,10.8,11.5,12.8,13.8,ITC
Payout Ratio %,0.5,0.5,0.7,0.5,0.5,0.5,1.4,0.9,0.8,1,ITC
Shares per Depository Receipt,1,1,1,1,1,1,1,1,1,1,ITC
Revenue,529715.1,415461.7,556040,719330,847570,728600,798390,1463710,1659600,1725880,JSWSTEEL
Other Revenue,,,,,,,,,,24180,JSWSTEEL
Total Revenue,529715.1,415461.7,556040,719330,847570,728600,798390,1463710,1659600,1750060,JSWSTEEL
Cost Of Goods Sold,308624.7,237426.5,295110,400560,444110,406350,406910,748310,1028870,1168050,JSWSTEEL
Gross Profit,221090.4,178035.2,260930,318770,403460,322250,391480,715400,630730,582010,JSWSTEEL
Selling General & Admin Exp.,15918.2,15742.3,17610,19080,25790,28930,25560,35710,40030,45910,JSWSTEEL
R & D Exp.,,,,,,,,,,,JSWSTEEL
Depreciation & Amort.,34344.9,33225.6,34300,33780,40320,42460,46790,60010,74740,81720,JSWSTEEL
Other Operating Expense/(Income),105847.9,90733.3,114650,150060,182620,166000,165180,283560,384360,253740,JSWSTEEL
"Other Operating Exp., Total",156111,139701.2,166560,202920,248730,237390,237530,379280,499130,381370,JSWSTEEL
Operating Income,64979.4,38334,94370,115850,154730,84860,153950,336120,131600,200640,JSWSTEEL
Interest Expense,-31940.1,-33789.4,-35690,-35450,-37290,-40170,-38050,-42880,-63050,-81050,JSWSTEEL
Interest and Invest. Income,489.7,689.7,1170,1250,1590,4940,5440,6740,7640,,JSWSTEEL
Net Interest Exp.,-31450.4,-33099.7,-34520,-34200,-35700,-35230,-32610,-36140,-55410,-81050,JSWSTEEL
Income/(Loss) from Affiliates,21,208.2,130,420,-300,-900,10,9170,-1370,-1720,JSWSTEEL
Currency Exchange Gains (Loss),-5132,-7336.5,-5590,-560,-5540,-8290,1050,-8500,-22280,,JSWSTEEL
Other Non-Operating Inc. (Exp.),-2918.2,-2002.8,-1700,-1330,-1620,-2140,-1120,-2250,-1430,10040,JSWSTEEL
EBT Excl. Unusual Items,25499.8,-3896.8,52690,80180,111570,38300,121280,298400,51110,127910,JSWSTEEL
Impairment of Goodwill,-259,-6998.6,,-1660,,-5130,-630,-1990,,,JSWSTEEL
Gain (Loss) On Sale Of Invest.,25.5,26.6,60,190,190,180,70,7180,50,,JSWSTEEL
Gain (Loss) On Sale Of Assets,357.8,-213,-1340,-1220,-80,-300,-370,-720,-520,,JSWSTEEL
Asset Writedown,-212,-11298.3,,-760,,-2390,-200,-4310,,,JSWSTEEL
Legal Settlements,,-2915.3,,,,,,,,,JSWSTEEL
Other Unusual Items,,827,,-220,,-530,,-1110,5910,5890,JSWSTEEL
EBT Incl. Unusual Items,25412.1,-24468.4,51410,76510,111680,30130,120150,297450,56550,133800,JSWSTEEL
Income Tax Expense,8194.1,-19662.1,16740,15380,36440,-9060,41420,88070,15160,44070,JSWSTEEL
Earnings from Cont. Ops.,17218,-4806.3,34670,61130,75240,39190,78730,209380,41390,89730,JSWSTEEL
Earnings of Discontinued Ops.,,,,,,,,,,,JSWSTEEL
Extraord. Item & Account. Change,,,,,,,,,,,JSWSTEEL
Net Income to Company,17218,-4806.3,34670,61130,75240,39190,78730,209380,41390,89730,JSWSTEEL
Minority Int. in Earnings,747.7,1452,560,1010,1150,1110,380,-2730,50,-1610,JSWSTEEL
Net Income,17965.7,-3354.3,35230,62140,76390,40300,79110,206650,41440,88120,JSWSTEEL
Pref. Dividends and Other Adj.,335.8,,,,,,,,,,JSWSTEEL
NI to Common Incl Extra Items,17629.9,-3354.3,35230,62140,76390,40300,79110,206650,41440,88120,JSWSTEEL
NI to Common Excl. Extra Items,17629.9,-3354.3,35230,62140,76390,40300,79110,206650,41440,88120,JSWSTEEL
Per Share Items,,,,,,,,,,,JSWSTEEL
Basic EPS,7.3,-1.4,14.7,25.8,31.8,16.8,32.9,86,17.3,36.3,JSWSTEEL
Basic EPS Excl. Extra Items,7.3,-1.4,14.7,25.8,31.8,16.8,32.9,86,17.3,36.3,JSWSTEEL
Weighted Avg. Basic Shares Out.,2417.2,2392.4,2402.6,2404.2,2404.6,2402.1,2403.8,2403.9,2402.3,2424.9,JSWSTEEL
Diluted EPS,7.3,-1.4,14.6,25.7,31.6,16.7,32.7,85.5,17.1,36.2,JSWSTEEL
Diluted EPS Excl. Extra Items,7.3,-1.4,14.6,25.7,31.6,16.7,32.7,85.5,17.1,36.2,JSWSTEEL
Weighted Avg. Diluted Shares Out.,2417.2,2392.4,2417.2,2417.2,2417.2,2417.2,2417.2,2417.2,2417.2,2436.3,JSWSTEEL
Normalized Basic EPS,6.9,-0.4,13.9,21.3,29.5,10.4,31.7,76.4,13.3,32.3,JSWSTEEL
Normalized Diluted EPS,6.9,-0.4,13.9,21.1,29.3,10.4,31.5,76,13.2,32.2,JSWSTEEL
Dividends per Share,1.1,0.8,2.2,3.2,4.1,2,6.5,17.4,3.4,7.3,JSWSTEEL
Payout Ratio %,0.2,,0.1,0.1,0.1,0.3,0.1,0.1,1,0.1,JSWSTEEL
Shares per Depository Receipt,1,1,1,1,1,1,1,1,1,1,JSWSTEEL
Interest Income On Loans,133188.9,204016.4,223242.1,251310.8,298312.2,334741.6,328198.3,337406.2,421510.6,408661.6,KOTAKBANK
Interest Income On Investments,,,,,,,,,,153704.7,KOTAKBANK
Total Interest Income,133188.9,204016.4,223242.1,251310.8,298312.2,334741.6,328198.3,337406.2,421510.6,562366.3,KOTAKBANK
Interest On Deposits,69661,111229.7,114575.1,124668.5,151866.1,159006.8,129665.5,115535.4,144111.3,225672.4,KOTAKBANK
Total Interest Expense,69661,111229.7,114575.1,124668.5,151866.1,159006.8,129665.5,115535.4,144111.3,225672.4,KOTAKBANK
Net Interest Income,63527.9,92786.6,108667,126642.3,146446.2,175734.8,198532.8,221870.8,277399.3,336693.9,KOTAKBANK
Gain (Loss) On Sale Of Assets (Rev),150.8,45.8,137.1,470,216.1,294.2,386.6,264.3,107.8,,KOTAKBANK
Gain on Sale of Invest. & Secur (Rev),24391.7,756.4,20692.9,10152.4,12120.1,-6572.8,49727.2,16950.3,-5009,55585.3,KOTAKBANK
Total Other Non-Interest Income,56979.5,75505,95765.6,126199.9,149142.6,175194.3,185763,232196,264810.9,324787.5,KOTAKBANK
Non-Oper. Income (Exp.),,,,,,,,,,,KOTAKBANK
Total Non Interest Income,81522,76307.3,116595.6,136822.3,161478.9,168915.8,235876.8,249410.6,259909.7,380372.8,KOTAKBANK
Revenue Before Loan Losses,145049.8,169093.9,225262.6,263464.6,307925.1,344650.6,434409.6,471281.4,537309,717066.7,KOTAKBANK
Provision For Loan Losses,2057.4,9915.7,9489.2,10247.4,10453.7,25581,28524.3,16059.9,6106.6,19724.7,KOTAKBANK
Total Revenue,142992.4,159178.3,215773.4,253217.2,297471.4,319069.6,405885.2,455221.5,531202.3,697342,KOTAKBANK
Salaries and Other Empl. Benefits,23732,38511,39808.1,43791.5,48491.1,57532,58557,71409.3,84790.3,103023.6,KOTAKBANK
Stock-Based Compensation,22.6,29.5,15,17.5,18,27.7,,,,,KOTAKBANK
Amort. of Goodwill & Intang. Assets,,,,,,,,,,,KOTAKBANK
Occupancy Expense,8895.2,12981.7,14040.3,15151.5,16809.2,18144.9,18807.1,21044.1,27422,,KOTAKBANK
"Selling General & Admin Exp., Total",9572.1,12885.8,13191,17199.2,19399.2,20367.6,17075.3,11941.3,19312.5,449.5,KOTAKBANK
(Income)/Loss from Affiliates,-398.8,-929.2,-701.8,-1105.1,-844.3,137.2,-873.1,-1575.2,-1445.7,-2363.8,KOTAKBANK
Total Other Non-Interest Expense,55270.7,44532.9,75399.7,85475.2,106996.8,108779.3,179762.4,199698.7,204925.5,355235.1,KOTAKBANK
Total Non-Interest Expense,97093.8,108011.6,141752.3,160529.9,190869.9,204988.8,273328.8,302518.2,335004.6,456344.4,KOTAKBANK
EBT Excl. Unusual Items,45898.6,51166.6,74021.1,92687.3,106601.5,114080.8,132556.4,152703.3,196197.7,240997.6,KOTAKBANK
Impairment of Goodwill,,,,,,,,,,,KOTAKBANK
Other Unusual Items,,,,,,,,8354.9,1709.8,,KOTAKBANK
EBT Incl. Unusual Items,45898.6,51166.6,74021.1,92687.3,106601.5,114080.8,132556.4,161058.2,197907.5,240997.6,KOTAKBANK
Income Tax Expense,14849,15926.2,23828.5,30110.9,34560.2,28147.2,32654.4,40164.3,48657.4,58865.5,KOTAKBANK
Earnings from Cont. Ops.,31049.6,35240.4,50192.6,62576.4,72041.3,85933.6,99902,120893.9,149250.1,182132.1,KOTAKBANK
Earnings of Discontinued Ops.,,,,,,,,,,,KOTAKBANK
Extraord. Item & Account. Change,,,,,,,,,,,KOTAKBANK
Net Income to Company,31049.6,35240.4,50192.6,62576.4,72041.3,85933.6,99902,120893.9,149250.1,182132.1,KOTAKBANK
Minority Int. in Earnings,-595.1,-651.9,-788.3,-566.7,,,,,,,KOTAKBANK
Net Income,30454.5,34588.5,49404.3,62009.7,72041.3,85933.6,99902,120893.9,149250.1,182132.1,KOTAKBANK
Pref. Dividends and Other Adj.,,,,,323.7,488.2,405,405,405,,KOTAKBANK
NI to Common Incl Extra Items,30454.5,34588.5,49404.3,62009.7,71717.6,85445.4,99497,120488.9,148845.1,182132.1,KOTAKBANK
NI to Common Excl. Extra Items,30454.5,34588.5,49404.3,62009.7,71717.6,85445.4,99497,120488.9,148845.1,182132.1,KOTAKBANK
Per Share Items,,,,,,,,,,,KOTAKBANK
Basic EPS,19.7,18.9,26.9,32.7,37.6,44.7,50.5,60.8,75,91.4,KOTAKBANK
Basic EPS Excl. Extra Items,19.7,18.9,26.9,32.7,37.6,44.7,50.5,60.8,75,91.4,KOTAKBANK
Weighted Avg. Basic Shares Out.,1542.3,1829.2,1837.2,1896,1906.8,1910.2,1969,1983.1,1985.7,1991.6,KOTAKBANK
Diluted EPS,19.7,18.9,26.9,32.7,37.6,44.7,50.5,60.7,74.9,91.4,KOTAKBANK
Diluted EPS Excl. Extra Items,19.7,18.9,26.9,32.7,37.6,44.7,50.5,60.7,74.9,91.4,KOTAKBANK
Weighted Avg. Diluted Shares Out.,1546,1833.3,1839.2,1898.6,1909.1,1912.3,1970.4,1984,1986.2,1991.6,KOTAKBANK
Normalized Basic EPS,18.2,17.1,24.8,30.3,34.9,37.3,42.1,48.1,61.8,75.6,KOTAKBANK
Normalized Diluted EPS,18.2,17.1,24.7,30.2,34.9,37.3,42,48.1,61.7,75.6,KOTAKBANK
Dividends per Share,0.4,0.5,0.6,0.7,0.8,,0.9,1.1,1.5,2,KOTAKBANK
Payout Ratio %,0,0,0,0,0,0,0,0,0,0,KOTAKBANK
Shares per Depository Receipt,1,1,1,1,1,1,1,1,1,1,KOTAKBANK
Supplemental Items,,,,,,,,,,,KOTAKBANK
Effective Tax Rate %,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,KOTAKBANK
Revenue,849538.9,929141.8,1001214.7,1092306.8,1225826,1316300,1225754.8,1445501.3,1707657.8,2080042.9,LT
Finance Div. Revenue,70506.9,82083,91903.4,104524.8,126376.9,138223.6,134035.5,119711,125749.2,131086.2,LT
Gain(Loss) on Sale Of Invest. (Rev),4442.3,657.3,342.2,-22177.2,653.3,7338.4,11187.7,4401.5,528.7,7342,LT
Interest And Invest. Income (Rev),4843,6229.7,11712.5,34137.5,11319,9313.8,14061.3,10674.7,18237.5,26555.6,LT
Other Revenue,1260.1,1453.5,1127.3,733,6094.7,7090.2,8224.9,7217.2,9767.2,6863.2,LT
Total Revenue,930591.2,1019565.3,1106300.1,1209524.9,1370269.9,1478266,1393264.2,1587505.7,1861940.4,2251889.9,LT
Cost Of Goods Sold,623621.4,655065.6,724381.2,775917.9,887527.6,899643.6,795474.8,914283.3,1073741.9,1354996.9,LT
Interest Expense - Finance Division,41581.3,49671.1,53620.9,60197.4,73856.3,80418.8,76910.4,59525.4,60264.4,57149,LT
Gross Profit,265388.5,314828.6,328298,373409.6,408886,498203.6,520879,613697,727934.1,839744,LT
Selling General & Admin Exp.,142265.1,201859.7,203811.2,224301.5,237522.6,311171.4,331164.1,409357.5,491867.9,564046.7,LT
Provision for Bad Debts,,,,,,,,,,,LT
R & D Exp.,,,,,,,,,,,LT
Depreciation & Amort.,24540.8,17591.5,18398.9,16729.9,17327.4,24438.1,28132.5,29380.3,33842,36747,LT
Other Operating Expense/(Income),-6.2,-97.5,-80.3,-54.6,-50.7,-199.4,-193.5,-201.4,-144.6,-84.4,LT
"Other Operating Exp., Total",166799.7,219353.7,222129.8,240976.8,254799.3,335410.1,359103.1,438536.4,525565.3,600709.3,LT
Operating Income,98588.8,95474.9,106168.2,132432.8,154086.7,162793.5,161775.9,175160.6,202368.8,239034.7,LT
Interest Expense,-26644,-15002.6,-12705.2,-15110.8,-17526.5,-27232.6,-39045.4,-30554.2,-31776.8,-35365.1,LT
Interest and Invest. Income,,,,,,,,,,,LT
Net Interest Exp.,-26644,-15002.6,-12705.2,-15110.8,-17526.5,-27232.6,-39045.4,-30554.2,-31776.8,-35365.1,LT
Income/(Loss) from Affiliates,21.4,-9901.6,-3952.7,-4358.6,-210,719.6,144,1281.9,-942.5,-226.2,LT
Currency Exchange Gains (Loss),-1500.6,-1481.6,-656.3,-143.7,-371.1,-606.9,-46.3,-644.7,-290.9,-93.4,LT
Other Non-Operating Inc. (Exp.),-255.9,-66.4,-25.8,-130.7,-127.9,-127.1,-42.7,-58.1,-3.9,,LT
EBT Excl. Unusual Items,70209.7,69022.7,88828.2,112689,135851.2,135546.5,122785.5,145185.5,169354.7,203350,LT
Impairment of Goodwill,,,,,,,-18.2,,,,LT
Gain (Loss) On Sale Of Invest.,,,,,,,,,,,LT
Gain (Loss) On Sale Of Assets,195.8,605.5,178.8,671.4,247.6,-332.8,626.1,176,613.7,735.1,LT
Asset Writedown,-1688.7,-275.8,-5300.4,-2557.4,-1902.9,-184.6,-891.4,-99.2,-1180.5,-76.3,LT
Other Unusual Items,3477,942.2,1214.3,1230,2947.5,,,,,,LT
EBT Incl. Unusual Items,72193.8,70294.6,84920.9,112033,137143.4,135029.1,122502,145262.3,168787.9,204008.8,LT
Income Tax Expense,22532.4,24847.6,20065.9,31988.7,40670.9,32632,40108.2,42039.2,44841.6,49473.9,LT
Earnings from Cont. Ops.,49661.4,45447,64855,80044.3,96472.5,102397.1,82393.8,103223.1,123946.3,154534.9,LT
Earnings of Discontinued Ops.,,,,,5693.3,6545.7,82379.2,,,,LT
Extraord. Item & Account. Change,,,,,,,-35560.2,969.3,1359.9,936.1,LT
Net Income to Company,49661.4,45447,64855,80044.3,102165.8,108942.8,129212.8,104192.4,125306.2,155471,LT
Minority Int. in Earnings,-2013.2,-3118.2,-4442.7,-6345.7,-13114.5,-13452.5,-13383.5,-17499.1,-20599,-24879.9,LT
Net Income,47648.2,42328.8,60412.3,73698.6,89051.3,95490.3,115829.3,86693.3,104707.2,130591.1,LT
Pref. Dividends and Other Adj.,,,,,,,,,,,LT
NI to Common Incl Extra Items,47648.2,42328.8,60412.3,73698.6,89051.3,95490.3,115829.3,86693.3,104707.2,130591.1,LT
NI to Common Excl. Extra Items,47648.2,42328.8,60412.3,73698.6,83358,88944.6,69010.3,85724,103347.3,129655,LT
Per Share Items,,,,,,,,,,,LT
Basic EPS,34.2,30.3,43.2,52.6,63.5,68,82.5,61.7,74.5,94,LT
Basic EPS Excl. Extra Items,34.2,30.3,43.2,52.6,59.5,63.4,49.1,61,73.5,93.3,LT
Weighted Avg. Basic Shares Out.,1392.5,1396.1,1398.5,1400.6,1402.1,1403.4,1404.1,1404.7,1405.3,1389.8,LT
Diluted EPS,34,30.2,43,52.5,63.4,67.9,82.4,61.6,74.4,93.9,LT
Diluted EPS Excl. Extra Items,34,30.2,43,52.5,59.3,63.3,49.1,61,73.5,93.2,LT
Weighted Avg. Diluted Shares Out.,1401.9,1402.6,1403.3,1404.2,1404.5,1405.2,1405.6,1406.3,1406.4,1391.1,LT
Normalized Basic EPS,30.1,28.7,36.5,45.8,51.2,50.8,45.1,52.1,60.7,73.5,LT
Normalized Diluted EPS,29.9,28.5,36.4,45.6,51.1,50.7,45.1,52.1,60.6,73.5,LT
Dividends per Share,10.8,12.2,14,16,18,18,18,22,24,28,LT
Revenue,49680.9,58464,65009,73065,94458,108786,123698,261087,331830,355170,LTIM
Other Revenue,,,,,,,,,,,LTIM
Total Revenue,49680.9,58464,65009,73065,94458,108786,123698,261087,331830,355170,LTIM
Cost Of Goods Sold,34520.8,42475,50107,57453,74022,86368,94359,185086,239031,255443,LTIM
Gross Profit,15160.2,15989,14902,15612,20436,22418,29339,76001,92799,99727,LTIM
Selling General & Admin Exp.,5125.3,5741,1810,2064,219,304,124,1726,2320,2462,LTIM
R & D Exp.,,,,,,,,,,,LTIM
Depreciation & Amort.,741.6,737,1779,1563,1472,2730,3325,5971,7227,8189,LTIM
Amort. of Goodwill and Intangibles,837.8,1003,,,,,,,,,LTIM
Other Operating Expense/(Income),,-1,790,1057,1384,1821,1964,21789,29402,33391,LTIM
"Other Operating Exp., Total",6704.7,7480,4379,4684,3075,4855,5413,29486,38949,44042,LTIM
Operating Income,8455.4,8509,10523,10928,17361,17563,23926,46515,53850,55685,LTIM
Interest Expense,-56.2,-58,-32,-157,-106,-826,-788,-1183,-1154,-1382,LTIM
Interest and Invest. Income,164.1,92,221,760,1009,1281,1704,868,1736,3014,LTIM
Net Interest Exp.,107.8,34,189,603,903,455,916,-315,582,1632,LTIM
Currency Exchange Gains (Loss),619.8,1650,1539,3428,1785,1889,62,4384,1025,118,LTIM
Other Non-Operating Inc. (Exp.),83.1,154,107,71,229,122,407,556,149,-601,LTIM
EBT Excl. Unusual Items,9266.3,10347,12358,15030,20278,20029,25311,51140,55606,56834,LTIM
Impairment of Goodwill,,,,,,,,,,,LTIM
Gain (Loss) On Sale Of Invest.,,,,,,,,1799,1670,3140,LTIM
Gain (Loss) On Sale Of Assets,,,,2,,,,,,,LTIM
Other Unusual Items,,,,-617,,,571,,639,513,LTIM
EBT Incl. Unusual Items,9266.3,10347,12358,14415,20278,20029,25882,52939,57915,60487,LTIM
Income Tax Expense,1666.2,1982,2649,3291,5123,4824,6500,13439,13812,14641,LTIM
Earnings from Cont. Ops.,7600,8365,9709,11124,15155,15205,19382,39500,44103,45846,LTIM
Earnings of Discontinued Ops.,8,,,,,,,,,,LTIM
Extraord. Item & Account. Change,79.1,,,,,,,,,,LTIM
Net Income to Company,7687.2,8365,9709,11124,15155,15205,19382,39500,44103,45846,LTIM
Minority Int. in Earnings,-1.9,-2,-2,-4,4,-4,-21,-17,-20,-25,LTIM
Net Income,7685.3,8363,9707,11120,15159,15201,19361,39483,44083,45821,LTIM
Pref. Dividends and Other Adj.,,,,,,,,,,,LTIM
NI to Common Incl Extra Items,7685.3,8363,9707,11120,15159,15201,19361,39483,44083,45821,LTIM
NI to Common Excl. Extra Items,7598.2,8363,9707,11120,15159,15201,19361,39483,44083,45821,LTIM
Per Share Items,,,,,,,,,,,LTIM
Basic EPS,47.7,51,57.1,64.9,87.7,87.5,111,133.7,149.1,154.9,LTIM
